"Gemeenten";"Aandeel huishoudens met vermogen van minimaal € 5.000|2018";"Aandeel huishoudens met vermogen van minimaal € 10.000|2018";"Aandeel huishoudens met vermogen van minimaal € 20.000|2018";"Aandeel huishoudens met vermogen van minimaal € 15.000|2018";"Aandeel huishoudens met vermogen van minimaal € 25.000|2018";"Aandeel huishoudens met vermogen van minimaal € 30.000|2018";"Aandeel huishoudens met vermogen van minimaal € 35.000|2018";"Aandeel huishoudens met vermogen van minimaal € 40.000|2018";"Aandeel huishoudens met vermogen van minimaal € 45.000|2018";"Aandeel huishoudens met vermogen van minimaal € 50.000|2018"
"De Wolden";89;80;66;72;61;55;51;47;43;39
"Delft";87;77;63;70;58;53;48;45;41;38
"Den Haag";79;70;56;62;50;46;42;38;36;33
"Den Helder";75;62;44;52;38;33;29;25;23;20
"Deurne";90;81;67;74;61;55;51;46;42;38
"Deventer";81;70;55;62;48;43;39;35;32;29
"Diemen";85;76;62;69;57;52;47;43;40;36
"Dinkelland";89;81;66;72;60;55;49;45;40;36
"Doesburg";81;71;54;61;48;44;40;37;33;30
"Doetinchem";83;72;56;64;49;44;39;35;32;29
"Dongen";87;77;63;69;56;51;47;42;38;35
"Dordrecht";78;67;51;58;45;40;36;32;29;27
"Drechterland";87;78;63;70;56;51;47;43;39;36
"Drimmelen";89;81;66;73;60;55;50;45;42;39
"Dronten";82;71;55;63;49;45;40;36;33;30
"Druten";85;74;58;65;51;47;43;38;34;31
"Duiven";84;74;57;65;51;45;40;36;32;29
"Echt-Susteren";86;76;62;68;55;50;46;42;38;35
"Edam-Volendam";87;78;63;70;57;52;47;43;39;36
"Ede";85;75;59;67;53;48;44;39;36;33
"Eemnes";89;81;68;74;62;57;53;49;45;43
"Eemsdelta";78;65;49;56;43;38;34;31;28;26
"Eersel";92;85;73;79;67;62;58;53;49;46
"Eijsden-Margraten";88;80;66;73;60;55;51;47;43;39
"Eindhoven";84;74;60;66;54;49;44;40;37;34
"Elburg";87;76;60;67;53;48;43;38;34;31
"Emmen";77;64;46;54;40;35;31;27;24;21
"Enkhuizen";79;68;51;59;45;40;35;32;29;27
"Enschede";76;63;47;54;40;36;32;28;25;23
"Epe";88;79;65;71;59;55;50;46;43;39
"Ermelo";88;80;65;72;59;54;49;45;41;38
"Etten-Leur";86;77;62;69;56;51;46;42;38;35
"Geertruidenberg";85;74;59;66;52;46;42;37;34;30
"Geldrop-Mierlo";87;78;63;70;57;52;47;43;39;36
"Gemert-Bakel";87;78;63;69;56;51;46;41;37;34
"Gennep";87;77;62;68;56;50;46;42;38;35
"Gilze en Rijen";86;77;63;70;57;52;47;43;39;35
"Goeree-Overflakkee";85;75;60;67;53;48;44;40;36;33
"Goes";86;76;61;67;54;49;44;40;37;34
"Goirle";89;80;66;72;59;54;49;44;40;37
"Gooise Meren";89;82;71;76;66;62;59;55;52;50
"Gorinchem";83;74;58;65;52;46;42;38;35;31
"Gouda";84;74;59;66;53;48;43;39;36;33
"Grave";84;74;58;65;52;46;42;38;35;31
"Groningen";83;73;57;64;51;46;41;37;34;31
"Gulpen-Wittem";88;79;64;71;59;54;50;45;42;38
"Haaksbergen";87;77;62;69;56;51;46;42;38;34
"Haarlem";85;75;61;67;55;49;45;41;38;35
"Haarlemmermeer";86;75;61;67;54;49;45;41;38;34
"Halderberge";86;78;64;70;58;53;49;45;41;38
"Hardenberg";83;72;54;62;47;42;37;33;30;26
"Harderwijk";85;75;58;66;52;46;41;36;32;29
"Hardinxveld-Giessendam";89;79;64;71;58;52;47;43;39;36
"Harlingen";79;67;50;57;44;38;35;31;28;25
"Hattem";88;78;63;70;57;51;47;43;39;37
"Heemskerk";86;75;59;66;53;47;43;39;35;32
"Heemstede";93;88;78;83;74;70;66;63;60;57
"Heerde";89;79;64;71;58;52;47;42;38;35
"Heerenveen";83;73;57;65;51;46;42;38;34;31
"Heerhugowaard";81;69;53;60;46;41;36;32;28;26
"Heerlen";72;59;43;50;37;33;29;26;23;21
"Heeze-Leende";92;85;73;79;68;63;59;54;50;47
"Heiloo";90;83;70;76;64;59;55;51;47;44
"Hellendoorn";85;75;58;66;51;46;41;37;34;30
"Hellevoetsluis";78;66;50;57;44;39;35;32;29;26
"Helmond";80;69;53;61;47;42;38;34;31;28
"Hendrik-Ido-Ambacht";85;75;58;66;51;46;42;37;33;30
"Hengelo";81;69;52;60;46;41;37;33;30;27
"Het Hogeland";81;70;54;61;47;42;38;34;31;28
"Heumen";90;83;69;75;64;59;54;50;47;43
"Heusden";88;79;65;71;59;54;49;45;41;37
"Hillegom";84;74;58;66;52;47;43;39;35;32
"Hilvarenbeek";91;85;72;78;67;62;57;52;48;44
"Hilversum";85;76;62;69;57;53;48;45;41;38
"Hoeksche Waard";87;77;62;69;56;50;46;41;38;35
"Hof van Twente";87;78;63;70;57;52;48;44;40;37
"Hollands Kroon";83;72;56;63;50;45;40;37;33;30
"Hoogeveen";82;70;53;61;46;41;36;32;29;26
"Hoorn";81;69;53;61;46;41;37;33;30;27
"Horst aan de Maas";88;80;65;72;59;53;48;44;39;36
"Houten";91;83;70;76;64;59;54;50;46;42
"Huizen";87;78;64;70;58;54;49;46;42;39
"Hulst";84;76;64;69;58;54;50;46;43;40
"IJsselstein";87;77;62;69;56;51;46;41;38;34
"Kaag en Braassem";90;81;67;74;61;57;52;48;44;40
